web-scraper-order,web-scraper-start-url,Article Links,Article Links-href,title,specializations,responsibilites,responsibilites-class,requirements,requirements-class,technologies,technologies-data-test,salary,employment-type,schedule,next
"1743533074-1","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/developer-sharepoint-power-platform-wroclaw,oferta,1003939806?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Developer Sharepoint / Power Platform","Business analytics, Frontend","[{""responsibilites"":""Tworzenie i rozwój aplikacji w Power Platform"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Projektowanie i budowa aplikacji w Power Apps (Canvas Apps, Model-Driven Apps)"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Tworzenie i optymalizacja przepływów automatyzacji w Power Automate"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Praca z Dataverse, SharePoint i SQL Server jako źródłami danych"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Tworzenie i wdrażanie Power BI dashboardów (jeśli wymagane)"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Integracja aplikacji z systemami zewnętrznymi (REST API, konektory, Microsoft 365)"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Tworzenie Custom Connectors w razie potrzeby"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Wsparcie przy wdrażaniu Power Virtual Agents (opcjonalnie)"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Monitorowanie i optymalizacja wydajności aplikacji"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Rozwiązywanie błędów i debugowanie procesów w Power Platform"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Wdrażanie dobrych praktyk i zasad bezpieczeństwa"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Analiza wymagań biznesowych i przekładanie ich na rozwiązania w Power Platform"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Współpraca z użytkownikami końcowymi w zakresie dostosowania aplikacji"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Dokumentowanie wdrożonych rozwiązań"",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""Min. 2 lata doświadczenia w pracy z Microsoft Power Platform"",""requirements-class"":""tkzmjn3""},{""requirements"":""Power Apps (Canvas Apps, Model-Driven Apps) – umiejętność tworzenia aplikacji dla biznesu"",""requirements-class"":""tkzmjn3""},{""requirements"":""Power Automate – automatyzacja procesów, integracja z innymi systemami"",""requirements-class"":""tkzmjn3""},{""requirements"":""Dataverse – zarządzanie danymi, modelowanie encji, relacje"",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość Microsoft 365 (SharePoint, OneDrive, Teams)"",""requirements-class"":""tkzmjn3""},{""requirements"":""Integracja Power Platform z innymi systemami za pomocą gotowych konektorów i REST API"",""requirements-class"":""tkzmjn3""},{""requirements"":""Podstawowa znajomość Power BI (budowanie dashboardów)"",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość Power Fx oraz JavaScript/TypeScript w kontekście Power Apps"",""requirements-class"":""tkzmjn3""},{""requirements"":""Dobra znajomość SQL Server i/lub SharePoint jako źródeł danych"",""requirements-class"":""tkzmjn3""},{""requirements"":""Podstawowa wiedza o Azure (Logic Apps, Functions, API Management)"",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""Microsoft SQL Server"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""SharePoint"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Microsoft Power Platform"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Power Automate"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Power Apps"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""JavaScript"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""TypeScript"",""technologies-data-test"":""item-technologies-expected""}]","","","specjalista (Mid / Regular)","pełny etat",""
"1743533077-2","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/architekt-analityk-systemowo-biznesowy-warszawa-bielanska-12,oferta,1003952807?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Architekt / Analityk Systemowo - Biznesowy​","Architecture, Business analytics","[{""responsibilites"":""Współtworzenie ekosystemu aplikacji klasy CRM w chmurze, jak i w centrum danych ORLEN"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Opracowywanie architektury rozwoju i integracji dla CRM"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Aktualizowanie repozytorium architektonicznego w zakresie opracowywanych rozwiązań"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Tworzenie dokumentacji technicznej projektowanych rozwiązań"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Wspieranie i doradztwo biznesowe w definiowaniu inicjatyw i projektów"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Analiza i ocena rozwiązań rynkowych i ich przydatności dla organizacji"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Monitorowanie zmian w systemach pod kątem zgodności z wypracowaną architekturą docelową i standardami"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Współpraca z interesariuszami wewnętrznymi"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Koordynacja zewnętrznych dostawców, monitorowanie rynku, co do najbardziej wartościowych rozwiązań IT"",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""Wykształcenie wyższe, preferowane IT"",""requirements-class"":""tkzmjn3""},{""requirements"":""Kilkuletnie doświadczenie o podobnym zakresie odpowiedzialności/w roli Architekta"",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość technologii i rozwiązań rynkowych w przywołanym zakresie"",""requirements-class"":""tkzmjn3""},{""requirements"":""Doświadczenie oraz umiejętność modelowania i projektowania architektury systemów IT"",""requirements-class"":""tkzmjn3""},{""requirements"":""Doświadczenie i umiejętność modelowania i zarządzania danymi podstawowymi"",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość zagadnień związanych z integracją systemów IT (projektowanie interfejsów, sposoby wymiany danych, harmonogramowanie przetwarzań), w tym SOA, Web services, REST"",""requirements-class"":""tkzmjn3""},{""requirements"":""Komunikatywna znajomość języka angielskiego w mowie i w piśmie"",""requirements-class"":""tkzmjn3""},{""requirements"":""Skuteczność w działaniu oraz odpowiedzialność biznesowa"",""requirements-class"":""tkzmjn3""},{""requirements"":""Nastawienie na ciągły rozwój oraz umiejętność czerpania z różnych perspektyw"",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""CRM"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""HLD"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""LLD"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""MS Dynamics 365 Customer Engagement"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""MS Project"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""MS Azure DevOps"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""Confluence"",""technologies-data-test"":""item-technologies-optional""}]","","","ekspert","pełny etat",""
"1743533080-3","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/senior-mid-full-stack-developer-backend-oriented-warszawa-zelazna-51,oferta,1003941130?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Senior/Mid Full Stack Developer (Backend-Oriented)","Architecture, Backend, Business analytics, DevOps, Full-stack","[{""responsibilites"":""Designing and developing modern backend systems using .NET and C#."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Building scalable and high-performance cloud applications (Azure, Kubernetes, Azure Functions, Terraform)."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Implementing microservices architecture and event-driven systems with Redis, SignalR, and Service Bus."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Integrating and optimizing SQL/NoSQL databases in a distributed environment."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Implementing AI/ML algorithms and neural network technologies for data analysis and process automation."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Defining coding standards and best programming practices."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Collaborating with the frontend team to integrate backend systems with web and mobile applications."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Working closely with the product and DevOps teams to implement CI/CD pipelines and optimize software development processes."",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""At least 4 years of experience working with .NET and C#."",""requirements-class"":""tkzmjn3""},{""requirements"":""Experience designing cloud solutions (Azure, Kubernetes, Terraform)."",""requirements-class"":""tkzmjn3""},{""requirements"":""Practical knowledge of Redis, Service Bus, and microservices architecture."",""requirements-class"":""tkzmjn3""},{""requirements"":""Strong proficiency in managing and optimizing SQL/NoSQL databases."",""requirements-class"":""tkzmjn3""},{""requirements"":""Familiarity with Azure DevOps project management tools."",""requirements-class"":""tkzmjn3""},{""requirements"":""Knowledge of CI/CD tools and DevOps practices."",""requirements-class"":""tkzmjn3""},{""requirements"":""Experience with React and collaborating with frontend teams for backend integration."",""requirements-class"":""tkzmjn3""},{""requirements"":""AI/ML knowledge and practical experience with neural networks is a plus."",""requirements-class"":""tkzmjn3""},{""requirements"":""Ability to mentor and lead a team, set technical goals, and ensure performance optimization."",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""Microsoft Azure"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Redis"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":"".NET"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Terraform"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Kubernetes"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""SQL"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Azure DevOps"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""CI/CD"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Azure Service Bus"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""SignalR"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""ML"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""React.js"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""AI"",""technologies-data-test"":""item-technologies-optional""}]","","","senior specialist (Senior)","full-time",""
"1743533083-4","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/platny-staz-w-wydziale-utrzymania-integracji-lublin-konrada-wallenroda-4c,oferta,1003945490?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Płatny staż w Wydziale Utrzymania Integracji","Big Data / Data Science","[{""responsibilites"":""Nadzór nad mechanizmami integracji danych"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Weryfikacja zgodności i poprawności formatów oraz struktur integrowanych komunikatów"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Monitoring i weryfikacja działania narzędzi komunikacyjnych"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Weryfikacja i obsługa alertów"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Tworzenie i aktualizacja dokumentacji integracyjnej"",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""Podstawowa znajomość tematyki relacyjnych baz danych i języka SQL"",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość formatów plików (xml, csv, html, json) i narzędzi komunikacyjnych służących do wymiany danych"",""requirements-class"":""tkzmjn3""},{""requirements"":""Umiejętność analitycznego myślenia i zaangażowanie w rozwiązywanie problemów"",""requirements-class"":""tkzmjn3""},{""requirements"":""Komunikatywność i umiejętność pracy w zespole"",""requirements-class"":""tkzmjn3""},{""requirements"":""Dostępność do odbywania stażu przez 3 miesiące w pełnym wymiarze etatu (poniedziałek-piątek) w godzinach 7:00-15:00"",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""SQL"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Icinga"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""Grafana"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""Prometheus"",""technologies-data-test"":""item-technologies-optional""}]","","","praktykant / stażysta","pełny etat",""
"1743533085-5","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/data-engineer-gcp-warszawa-pulawska-182,oferta,1003945917?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Data Engineer GCP","Big Data / Data Science","[{""responsibilites"":""Analizowanie biznesowych celów i potrzeb organizacji, a następnie projektowania mechanizmów przepływu, analizy i wizualizacji danych, by wspomagały realizację wyznaczonych celów"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Projektowanie modelu danych firmy"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Budowanie i utrzymanie katalogu danych oraz repozytorium przepływu danych pomiędzy systemami"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Pośredniczenie między biznesem a programistami przekładając wymagania biznesowe na rozwiązania techniczne w obszarze danych"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Identyfikacja i rekomendowanie niezbędnych zmian w obszarze architektury danych"",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""Cztery lata doświadczenia w eksploracji danych z wykorzystaniem języka SQL i wizualizacji danych z wykorzystaniem nowoczesnych narzędzi BI oraz doświadczenie we współpracy z biznesem w zakresie analizy potrzeb i opisu wymagań"",""requirements-class"":""tkzmjn3""},{""requirements"":""Bardzo dobra znajomość technik eksploracji danych na platformie BigQuery"",""requirements-class"":""tkzmjn3""},{""requirements"":""Biegłe posługiwanie się SQL"",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość narzędzi wspomagających procesy zbierania, składowania, przetwarzania oraz wizualizacji i eksploaracji danych (zwłaszcza w oparciu o Google Cloud Platform),"",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość języka angielskiego na poziomie min. B2"",""requirements-class"":""tkzmjn3""},{""requirements"":""Wykształcenie wyższe (preferowane kierunki informatyczne)"",""requirements-class"":""tkzmjn3""},{""requirements"":""Umiejętność logicznego i analitycznego myślenia"",""requirements-class"":""tkzmjn3""},{""requirements"":""Systematyczność i jednoczesna umiejętność automatyzowania pracy swojej i współpracowników"",""requirements-class"":""tkzmjn3""},{""requirements"":""Bardzo dobre zdolności komunikacyjne"",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""SQL"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""BigQuery"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Google Cloud Platform"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Python"",""technologies-data-test"":""item-technologies-optional""}]","","","specjalista (Mid / Regular), starszy specjalista (Senior)","pełny etat",""
"1743533088-6","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/inzynier-baz-danych-leczyca,oferta,1003940615?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Inżynier Baz Danych","Big Data / Data Science","[{""responsibilites"":""Projektowanie i wdrażanie baz danych – tworzenie standardów struktur baz danych, formatów danych oraz protokołów komunikacyjnych w obszarze OT."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Dokumentowanie standardów i procedur związanych z przetwarzaniem danych."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Optymalizacja wydajności – indeksowanie, tuning zapytań SQL, optymalizacja schematów wymiany danych."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Monitorowanie jakości danych – zapewnienie poprawności, spójności i aktualności analizowanych informacji."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Współpraca z zespołami IT i data & analytics oraz firmami zewnętrznymi w zakresie:"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Wymiany danych między aplikacjami."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Bezpieczeństwa danych."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Monitorowania, konserwacji i zarządzania serwerami baz danych."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Replikacji danych, harmonogramowania zadań."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Wdrażania nowych technologii – testowanie i integracja rozwiązań chmurowych i rozproszonych baz danych"",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""Wykształcenie wyższe z zakresu informatyki, matematyki, statystyki lub pokrewnych dziedzin."",""requirements-class"":""tkzmjn3""},{""requirements"":""Doświadczenie w pracy z SQL i/lub Pythonem."",""requirements-class"":""tkzmjn3""},{""requirements"":""Pasję do danych i liczb oraz dogłębne zrozumienie infrastruktury danych."",""requirements-class"":""tkzmjn3""},{""requirements"":""Doświadczenie w analizie, przetwarzaniu i modelowaniu danych oraz zorientowany na projekt i cel sposób pracy."",""requirements-class"":""tkzmjn3""},{""requirements"":""Zdolność do przekształcania wymagań biznesowych w specyfikacje techniczne."",""requirements-class"":""tkzmjn3""},{""requirements"":""Bardzo dobra znajomość języka angielskiego (w mowie i piśmie)."",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""SQL"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Python"",""technologies-data-test"":""item-technologies-expected""}]","","","specjalista (Mid / Regular)","pełny etat",""
"1743533090-7","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/mlodszy-a-specjalista-ka-specjalista-ka-ds-automatyzacji-piekary-slaskie,oferta,1003941436?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Młodszy/a Specjalista/ka (Specjalista/ka) ds. Automatyzacji","Business analytics","[{""responsibilites"":""Utrzymanie, nadzorowanie i raportowanie pracy robotów programowych"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Tworzenie nowych skryptów automatyzujących procesy"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Przygotowywanie raportów i analiz"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Testowanie i debugowanie skryptów RPA w celu zapewnienia ich poprawnego działania"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Współpraca z zespołami biznesowymi w celu zrozumienia wymagań i dostosowania rozwiązań RPA"",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""Zdolność analitycznego myślenia i algorytmiczne podejście do rozwiązywania problemów"",""requirements-class"":""tkzmjn3""},{""requirements"":""Bardzo dobra znajomość Pakietu Office"",""requirements-class"":""tkzmjn3""},{""requirements"":""Umiejętność organizacji pracy własnej"",""requirements-class"":""tkzmjn3""},{""requirements"":""Proaktywność i nastawienie na rozwiązywanie problemów biznesowych"",""requirements-class"":""tkzmjn3""},{""requirements"":""Chęć rozwoju i uczenia się nowych technologii"",""requirements-class"":""tkzmjn3""},{""requirements"":""Rozwinięte umiejętności komunikacyjne i umiejętność pracy w grupie"",""requirements-class"":""tkzmjn3""},{""requirements"":""Samodzielność w poszukiwaniu rozwiązań"",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""SQL"",""technologies-data-test"":""item-technologies-optional""}]","","","specjalista (Mid / Regular), młodszy specjalista (Junior)","pełny etat",""
"1743533093-8","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/inzynier-przetwarzania-i-modelowania-danych-warszawa-aleje-jerozolimskie-96,oferta,1003941938?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Inżynier Przetwarzania i Modelowania Danych","Big Data / Data Science","[{""responsibilites"":""Analizowanie, uzgadnianie, specyfikowanie wymagań w zakresie udostępniania i modelowania danych."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Tworzenie dedykowanych systemów związanych z udostępnianiem i raportowaniem danych."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Realizowanie zadań cyklicznych, jednorazowych, ad-hoc i innych związanych z obszarem udostępnianiem i raportowaniem danych."",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Testowanie, wdrażanie oraz utrzymanie ww. rozwiązań"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Dokumentowanie wdrożonych rozwiązań (dokumentacja techniczno-biznesowa)"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Dbanie o jakość dostarczonych produktów i rozwiązań"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Wspieranie użytkowników w rozwiązywaniu problemów związanych z dostarczonymi danymi i produktami"",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""Co najmniej 3 lata doświadczenia na podobnym stanowisku"",""requirements-class"":""tkzmjn3""},{""requirements"":""Wykształcenie wyższe – preferowane kierunki ścisłe"",""requirements-class"":""tkzmjn3""},{""requirements"":""Bardzo dobra znajomość SQL, preferowany T-SQL lub/oraz Databricks SQL lub Spark SQL"",""requirements-class"":""tkzmjn3""},{""requirements"":""Tworzenie rozwiązań w oparciu o: MS SQL Server, MS SQL Reporting Services, Databricks"",""requirements-class"":""tkzmjn3""},{""requirements"":""Wiedza z zakresu hurtowni danych i modeli semantycznych ze szczególnym uwzględnieniem środowisk chmurowych (AZURE.Databricks będzie dodatkowym atutem)"",""requirements-class"":""tkzmjn3""},{""requirements"":""Ponadpodstawowa znajomość narzędzi analizy i modelowania danych innych niż SQL (Python będzie dodatkowym atutem)"",""requirements-class"":""tkzmjn3""},{""requirements"":""Podstawowa znajomość metodyk i sposobów analizy jakości i poprawności danych (QA)"",""requirements-class"":""tkzmjn3""},{""requirements"":""Podstawowa znajomość pracy i narzędzi w projektach informatycznych (zarządzanie zadaniami, zarządzanie kodem)"",""requirements-class"":""tkzmjn3""},{""requirements"":""Umiejętność pracy w grupie"",""requirements-class"":""tkzmjn3""},{""requirements"":""Angielski na poziomie umożliwiającym rozumienie i tworzenie dokumentacji technicznej"",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""SQL"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Databricks"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Spark SQL"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Microsoft SQL Server"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""T-SQL"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Python"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""Azure Databricks"",""technologies-data-test"":""item-technologies-optional""}]","","","specjalista (Mid / Regular)","pełny etat",""
"1743533095-9","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/specjalista-ds-rpa-warszawa-konstruktorska-4,oferta,1003939428?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Specjalista ds. RPA","Business analytics","[{""responsibilites"":""Analiza i identyfikacja potencjału automatyzacji procesów biznesowych na potrzeby wdrażania rozwiązań Robotic Process Automation,"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Przygotowywanie koncepcji i opracowanie prototypów wdrożeń rozwiązań RPA,"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Projektowanie, budowa, testy produkcyjne wdrożenie robotów,"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Przygotowywanie niezbędnej dokumentacji projektowej, w tym wymagań biznesowych i funkcjonalnych,"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Współpraca z ekspertami oraz menedżerami poszczególnych komórek organizacyjnych w celu opracowania rozwiązań."",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""Doświadczenie w zakresie optymalizacji lub automatyzacji procesów,"",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość co najmniej jednego z rozwiązań RPA np. UiPath, Blue Prism, Automation Anywhere,"",""requirements-class"":""tkzmjn3""},{""requirements"":""Umiejętności analitycznego i ustrukturyzowanego podejścia do rozwiązywania problemów,"",""requirements-class"":""tkzmjn3""},{""requirements"":""Samodzielne myślenie strategiczne i doświadczenie w rozwiązywaniu złożonych problemów biznesowych,"",""requirements-class"":""tkzmjn3""},{""requirements"":""Dobra znajomość języka angielskiego wykorzystywana w codziennej pracy,"",""requirements-class"":""tkzmjn3""},{""requirements"":""Bardzo dobre umiejętności komunikacyjne."",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""Blue Prism"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Automation Anywhere"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""UiPath"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Agile"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""C#"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":"".NET"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""PL/SQL"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""BPMN"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""UML"",""technologies-data-test"":""item-technologies-optional""}]","","","specjalista (Mid / Regular)","pełny etat",""
"1743533098-10","https://it.pracuj.pl/praca?its=ai-ml%2Cbig-data-science%2Cbusiness-analytics","","https://www.pracuj.pl/praca/administrator-systemow-informatycznych-gdansk-opacka-12,oferta,1003943396?s=8b66142b&searchId=MTc0MzUzMjc5NDczMi4wNzEz","Administrator systemów informatycznych","Big Data / Data Science, Helpdesk","[{""responsibilites"":""Administracja i utrzymanie systemów Microsoft 365, Azure oraz Active Directory"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Zarządzanie klastrem Microsoft i zapewnienie wysokiej dostępności usług"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Znajomość systemów wirtualizacji (Hyper-V)"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Podstawowa konfiguracja i administracja sieci (LAN/WAN, VPN, DHCP, DNS)"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Monitorowanie oraz zapewnienie bezpieczeństwa systemów IT"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Automatyzacja procesów administracyjnych (np. PowerShell)"",""responsibilites-class"":""tkzmjn3""},{""responsibilites"":""Wsparcie techniczne i diagnozowanie problemów IT"",""responsibilites-class"":""tkzmjn3""}]","","[{""requirements"":""Minimum 5 lat doświadczenia na stanowisku Administratora Systemów Informatycznych"",""requirements-class"":""tkzmjn3""},{""requirements"":""Bardzo dobra znajomość Microsoft 365, Azure oraz Active Directory"",""requirements-class"":""tkzmjn3""},{""requirements"":""Doświadczenie w zarządzaniu klastrami Microsoft"",""requirements-class"":""tkzmjn3""},{""requirements"":""Znajomość podstawowych zagadnień sieciowych (TCP/IP, VLAN, routing)"",""requirements-class"":""tkzmjn3""},{""requirements"":""Umiejętność diagnozowania i rozwiązywania problemów IT"",""requirements-class"":""tkzmjn3""},{""requirements"":""Samodzielność, dokładność i umiejętność pracy w zespole"",""requirements-class"":""tkzmjn3""}]","","[{""technologies"":""Oracle"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""MySQL"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""Active Directory"",""technologies-data-test"":""item-technologies-expected""},{""technologies"":""PowerShell"",""technologies-data-test"":""item-technologies-optional""},{""technologies"":""SQL"",""technologies-data-test"":""item-technologies-optional""}]","","","specjalista (Mid / Regular), starszy specjalista (Senior)","pełny etat",""
